m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0.4,364,131,4.0451999999999996E-4,3.3395999999999995E-4,1.486,1.052,4450
1009,1000,H_DIV,271828,0.0,378,140,2.8648000000000004E-4,2.3224E-4,1.494,1.034,6079
1009,1000,H_DIV,314159,0.0,378,155,2.286E-4,2.1996E-4,1.518,0.968,4498
1009,1000,H_MUL,137,2.2,394,140,3.6652E-4,2.7739999999999997E-4,1.506,1.018,5801
1009,1000,H_MUL,271828,0.0,363,146,2.9496E-4,3.0984E-4,1.534,0.99,5610
1009,1000,H_MUL,314159,1.6,379,132,2.64E-4,2.464E-4,1.5,0.976,6519
1009,1000,H_FOLD,137,0.0,354,121,2.7748000000000003E-4,2.4856E-4,1.486,1.018,3920
1009,1000,H_FOLD,271828,0.0,366,142,2.3763999999999998E-4,1.7072E-4,1.526,1.08,5284
1009,1000,H_FOLD,314159,0.4,351,117,3.0036E-4,2.276E-4,1.454,0.964,7278
1009,10000,H_DIV,137,3.2,8991,40343,2.1259748050389923E-4,3.150830166033207E-4,5.936612677464507,9.96139227845569,4450
1009,10000,H_DIV,271828,3.0,8991,40639,1.6652E-4,2.23136E-4,5.9514,9.9304,6079
1009,10000,H_DIV,314159,0.0,8993,41195,1.9478800000000002E-4,2.80484E-4,6.0298,9.8892,4498
1009,10000,H_MUL,137,4.6,8991,40916,1.64375124975005E-4,2.004240848169634E-4,5.969406118776245,9.966793358671735,5801
1009,10000,H_MUL,271828,1.2,8991,40628,1.82308E-4,2.45544E-4,5.9596,9.8994,5610
1009,10000,H_MUL,314159,1.2,8991,40567,1.71208E-4,2.34232E-4,5.9058,9.8846,6519
1009,10000,H_FOLD,137,1.6,8991,40596,1.8479104179164167E-4,2.2686537307461493E-4,6.020195960807839,9.924384876975395,3920
1009,10000,H_FOLD,271828,0.8,8991,40373,1.7461600000000002E-4,2.28884E-4,5.9048,9.9496,5284
1009,10000,H_FOLD,314159,0.0,8991,40774,1.7657599999999998E-4,2.1837200000000002E-4,5.9914,9.9488,7278
1009,100000,H_DIV,137,92.8,98991,4856074,0.0012319170466362692,0.002484459556764541,50.54309655227582,99.15919273541883,4450
1009,100000,H_DIV,271828,97.8,98991,4858686,0.0010791852162956742,0.0022269621392427847,50.58528829423412,99.18666373327467,6079
1009,100000,H_DIV,314159,87.8,98991,4854768,0.0012340900727941765,0.002470414433154652,50.53203743700504,99.14491159292743,4498
1009,100000,H_MUL,137,92.6,98991,4859700,0.0012361723062155026,0.002445104008320666,50.61977041836653,99.19127530202417,5801
